#;Oggetto;# Fixed on ;# Fixed also on ;# Major release
35472;Integrazione Twill FA/GOV/Office con SSO;"";"";6.46.0
35471;BC - Flussi Polizze (contratti, saldi, movimenti);"";"";6.39.0
35463;SF obbligazioni subordinate soggette a bail in;"";"";""
35455;Installazione in PROD v.6.24.0;"";"";""
35449;Segnalazione post rilascio 6.35.0;6.35.1;"";6.36.0
35366;BIMFREE - verifica programma di caricamento a fronte cambio C/C;"";"";6.73.0
35342;PL - Scarico Tabelle POLIZZE da Preload;"";"";6.34.0
35330;verifica saldo disponibile con prenotata avere;"";"";""
35269;Monitoraggio - verifica controllo KYC;"";"";""
35191;Disclosure_modifica modulo d'ordine polizze e illiquidi;"";"";""
35190;Disclosure_Modifica fascicolo di consiglio;"";"";""
35186;Installazione in TEST v.6.33.0;"";"";""
35182;"ANOMALIA SU FUNZIONI ""CONFRONTA PER ASSET CLASS"" E ""GRAFICI DI CONFRONTO"" - FUNZIONE RICHIESTA DA ISPEZIONE DI BANCA ITALIA";6.28.5;"";6.34.0
35174;Supporto ambiente di TEST;"";"";""
35155;Modulo costi oneri e incentivi polizze;"";"";""
35133;STIMA MANAGERIALE Nuova segnalazione Assoreti Consulenza;"";"";""
35115;POZRI;"";"";""
35082;Contratto GP Avantgarde;"";"";""
35079;RENDICONTI ANNUALI;6.28.5;"";6.33.0
35071;Verifica associazioni classi TCTGPP su importa polizze UNIQA-UL in simulatore contratti;"";"";""
35068;Installazione in TEST v.6.32.0;"";"";""
35051;MODIFICA UTILIZZO QUESTIONARIO MIFID PER DITTE INDIVIDUALI;"";"";""
35049;Flexible persone giuridiche;"";"";6.93.0
35047;PRODUZIONE FASCICOLI ANNUALI;6.28.5;"";6.33.0
35044;AZIONE BONUS - ADEGUATA VERIFICA;6.28.5;"";6.32.0
35029;OFN - Extra per definizione modello preordine (v.2);6.33.0;"";6.33.0
35027;Concentrazione per punteggio - revisione ptf valutato con Liquidità;6.32.0;"";6.32.0
35009;"Verifica liquidità in ""composizione dossier""";"";"";""
34963;Supporto produzione fascicoli semestrali 31.12;"";"";""
34924;MIFID III segnalazioni riprofilature opportunistiche;"";"";""
34914;Invio conferma mail a seguito di variaizione questionario mifid ad indirizzo errato;"";"";""
34901;Fase batch PL in errore - causa collegamento doppio Cliente vs CF;"";"";""
34871;Nuova scheda mifid PG lunghezza 67;6.28.3;"";6.32.0
34854;Informatizzazione Processo di collocamento;"";"";""
34848;ERRORE GESTIONE SCHEDA MIFID III PERSONA GIURIDICA;"";"";""
34847;AZIONE BONUS - errore batch POULI;6.28.3;"";6.32.0
34789;"OFN - Eliminare da raccomandazione ""confronta per asset class""";6.32.0;"";6.32.0
34778;Flusso KYCANA con caratteri UNIX;"";"";""
34755;Segnalazione ADAPC a fronte di RSMREC > 31 per nuova scheda mifid;6.28.3;"";6.32.0
34743;OFN - processo di produzione KIID e comunicazione al cliente;"";"";6.36.0
34742;OFN - SF BlackList - possibilità di mantenerli in ptf;"";"";""
34741;"OFN - concentrazione per fasce per ""% tipologia""";6.32.0;"";6.32.0
34740;Riapertura ticket 25840 - TTASTR;6.28.5;"";6.34.0
34739;OFN - Controllo costi e benefici non bloccante;"";"";""
34722;Contratto GP Avantgarde;"";"";""
34689;Operazioni in Agenda FA;6.28.2;"";6.32.0
34658;Spazi disco DB;"";"";""
34652;Parametrizzazione software con nuovi campi TPODAT/TPOANA;"";"";""
34651;Nuovo batch caricamento polizze First Baloise;6.32.0;"";6.32.0
34619;Variazione questionario Mifid FEA;6.28.2;"";6.32.0
34611;FATTURAZIONE BACK END - PRODUZIONE FILE FLUSSO_CONTAB_SORT;"";"";""
34595;Inserimento polizza in portafoglio riallocato;6.28.2;"";6.31.0
34594;Modifica Modale ricerca Polizze;"";"";""
34593;verifica layout;6.28.2;"";6.31.0
34592;Modifica Label;6.28.2;"";6.31.0
34591;Impostazione grandezze colonne pagina;"";"";""
34590;Simulazione contratto icona cestino;6.28.2;"";6.31.0
34589;Modifica campi obbligatori anagrafica contratto;6.28.2;"";6.31.0
34577;"OFN - Rimuovere ""bozza"" da produzione fascicolo di consiglio";6.31.0;"";6.31.0
34571;Riprofilatura MiFID - Modifica penalizzazioni;6.28.2;"";6.32.0
34568;Gestione contratti doppia GS;6.28.2;"";6.31.0
34547;Presunta anomalia inserimento Mifid con FEA;6.28.2;"";6.31.0
34523;Totali dashboard;6.28.3;"";6.32.0
34505;estrazione sottoscrizioni FEA Finint SGR;"";"";""
34477;OFN - Extra per definizione modello preordine;6.30.0;"";6.30.0
34476;OFN - Edit obbligazione in proposta;6.31.0;"";6.31.0
34475;OFN - Verifica titolo sotto osservazione;"";"";""
34474;OFN - Confronta fondi target;6.31.0;"";6.31.0
34473;OFN - Togliere inserire liquidità con liquidità attesa;"";"";""
34472;OFN - Concentrazione ?Coco Bond? con ?Titoli sospesi/Complessi?;6.31.0;"";6.31.0
34471;OFN - Esclusione polizze da calcolo concentrazione;6.31.0;"";6.31.0
34470;OFN - Cambio dicitura punteggio di rischio;6.31.0;"";6.31.0
34469;OFN - FONDI LISTA O CON COMPLESSITA? 999;6.31.0;"";6.31.0
34468;OFN - Revisione Watch List (LISTA STRUMENTI FINANZIARI);6.31.0;"";6.31.0
34467;OFN - CONCENTRAZIONE PUNTEGGIO DI RISCHIO per Singolo Titolo;6.31.0;"";6.31.0
34463;Installazione in TEST v.6.30.0;"";"";""
34455;Reinstallazione VPN e VMWare;"";"";""
34432;ERRORE MONITORAGGIO (ROSEG) AMBIENTE DI TEST;"";"";""
34413;VERIFICA PENALIZZAZIONI SEZIONE MIFID OBIETTIVI DI INVESTIMENTO ;"";"";""
34404;Errore in accesso Riepilogo da Raccomandazione;6.28.2;"";6.30.0
34401;Menù Gestione contratti sempre disponibile;6.28.1;"";6.28.1
34368;modifica TM3;6.31.0;"";6.31.0
34351;Saldo DV non presente in calcolo performance;6.28.2;"";6.31.0
34334;segnalazioni utente che sta eseguendo i test;"";"";""
34327;firmatario posizione consulenza - caso minori con tutor;6.28.3;"";6.32.0
34317;Mancato carico TGVUNQ per codice convenzione;6.30.0;"";6.30.0
34263;Verifche post rilascio 6.29.0;6.30.0;"";6.30.0
34246;Installazione in TEST v.6.29.0;"";"";""
34180;Verifica: incongruenza flusso Saldi dossier vs Contratto Fondi;"";"";""
34175;Pagina di firma documento di contratto;6.28.0;"";6.28.0
34157;Revisione per algoritmi su ESG;"";"";6.36.0
34156;Gestione schede mifid attuali e nuova versione;6.28.0;"";6.28.0
34153;Sincronizzazione flussi SIED per RSMREC / QPGREC;"";"";""
34152;Sincronizzazione flussi SIED per RSMREC / QPGREC;6.31.0;"";6.31.0
34151;Revisione base dati - ESG;6.28.0;"";6.28.0
34126;MODALE FLEX SOLUTION;6.28.0;"";6.28.0
34125;SIMULATORE MODALE POLIZZE - SCELTA NUOVO INSERIMENTO;6.30.0;"";6.30.0
34112;Sal cabel/finint - kickoff - Banca Cambiano;"";"";""
34069;Installazione in TEST v.6.26.0;"";"";""
34040;errore firma proposta per non adeguatezza ;"";"";""
33996;LIQUIDITA-AMMINISTRATO non visibile a fronte di Importa;6.28.2;"";6.31.0
33970;tabella TPOCNG;"";"";""
33967;Errore inserimento polizza Flex e Eurovita;"";"";""
33964;simulatore NEW show list polizze;"";"";""
33921;Attività per il passaggio in produzione della polizza Doppia GS;6.26.0;"";6.26.0
33917;ERRORE POULI;6.23.3;"";6.26.0
33909;ERRORE SU RILASCIO BATCH CARICAMENTO POLIZZA AZIONE BONUS;"";"";""
33883;"OFN - Rinomina ""adeguatezza"" nel terzo semaforo della consulenza con Appropriatezza/ Adeguatezza";6.31.0;"";6.31.0
33877;DGS - Sal, test di sistema e retro-compatibilità;"";"";""
33876;DGS - Supporto BackEnd;"";"";""
33875;DGS - Tuning/adattamenti simulatore/previsionale;"";"";""
33874;DGS - Tuning per nuovi codici società e prodotto;6.26.0;"";6.26.0
33873;DGS - Nessuna documentazione richiesta;6.26.0;"";6.26.0
33872;DGS - Tuning/adattamenti su flusso Input/Output;6.26.0;"";6.26.0
33871;DGS - Controlli per operazione su nuova polizza;6.26.0;"";6.26.0
33870;DGS - Configurazione questionario IDD;6.26.0;"";6.26.0
33869;DGS - Configurazione nuova società e prodotto;6.26.0;"";6.26.0
33868;Twill - ambiente di TEST non disponibile;"";"";""
33851;OFN - Svuotamento temporaneo Xform (fasc cons e mod ord) per invocazione servizi Cabel;6.25.1;"";6.26.0
33844;Installazione in TEST v.6.25.0;"";"";""
33828;Supporto per fasi batch di Test non girate;"";"";""
33762;OFN - Rinomina ETP o ETP/Certificates in ETF;"";"";""
33761;Inibizione operatività in fondo per SF senza contratto;6.25.0;"";6.25.0
33745;Installazione in TEST v.6.24.0;"";"";""
33697; Movimenti/Eseguiti di titoli e OICR;"";"";""
33693;"OFN - Rimozione funzione ""Simulare Liquidità"" in raccomandazione";6.24.0;"";6.24.0
33689;OFN - Adeguamento integrazione servizi Cabel;6.25.0;"";6.25.0
33665;OFN - Nuovi flussi per controlli Target Market (rif.33022);6.24.0;"";6.24.0
33625;errore simulatore;6.26.0;"";6.26.0
33615;"OFN - Raccomandazione senza operazioni; post consolidamento non si vede il box documenti";"";"";""
33612;Supporto per GoLive non effettuato in ambiente di Produzione;"";"";""
33495;PROGRAMMA PER CARICAMENTO POLIZZE GESTITE TRAMITE BROKER ASSICURATIVO - FIRST BALOISE;"";"";""
33478;Installazione in PROD v.6.22.0;"";"";""
33431;Installazione in TEST v.6.22.0;"";"";""
33427;Monitoraggio - mantenimento attivi solo controlli documenti;6.22.0;"";6.22.0
33426;OFN - System & Integration Test  c/o IFIGEST;"";"";""
33416;OFN - Revisione base dati;6.28.0;"";6.28.0
33395;Riattivazione funzioni di Apertura Contratto (segue #33169);"";"";""
33216;Verifica fasi batch TEST e Produzione Twill;"";"";""
33177;Supporto per spazio dischi in esaurimento;"";"";""
33159;OMW - Test;"";"";""
33134;Fasi bloccate 22.08 e gg successivi;"";"";""
33062;OFN - Integrazione FEA con nuovo fornitore di IF (Infocert);"";"";""
33061;OFN - Segnalazione monitoraggio orizzonte temporale;6.30.0;"";6.30.0
33060;OFN - Esposizione su nuovo tab nella coerenza di portafoglio;6.29.0;"";6.29.0
33059;OFN - Revisione calcolo holding period;6.29.0;"";6.29.0
33055;OFN - Revisione liste con esposizione TM4;6.28.0;"";6.28.0
33054;OFN - Calcolo nuovo algoritmo adeguatezza portafoglio;6.26.0;"";6.26.0
33053;OFN - Recupero valore TM4 da Cabel;6.24.0;"";6.24.0
33052;OFN - Creazione modello ordine al consolidamento della proposta;6.33.0;"";6.33.0
33051;OFN - Creazione modello preordine al consolidamento della raccomandazione;6.30.0;"";6.30.0
33050;OFN - Definizione modello ordine in Xform;6.33.0;"";6.33.0
33049;OFN - Definizione modello preordine in Xform;6.30.0;"";6.30.0
33043;OFN - Attivazione / tuning operatività B.O. su Twill Office;6.26.0;"";6.26.0
33034;OFN - Attivazione / tuning operatività B.O. su Twill Office;6.26.0;"";6.26.0
33032;OFN - Disabilitare messaggistica vs la Clientela e PF;6.30.0;"";6.30.0
33027;OFN - Tuning funzioni non oggetto di implementazione;6.31.0;"";6.31.0
33024;OFN - Tuning azioni disponibili;6.32.0;"";6.32.0
33023;OFN - Adattamento griglie operazioni;6.32.0;"";6.32.0
33021;OFN - Revisione controlli ordine Adeguato/Appropriato;6.26.0;"";6.26.0
33015;OFN - Revisione controlli Accesso WatchList/RichiestaCliente vs classificazione titolo;6.30.0;"";6.30.0
33012;OFN - Supporto Post-Roll-Out;"";"";""
33011;OFN - Roll-Out;"";"";""
33010;OFN - Formazione;"";"";""
33009;OFN - SAL / Riunioni Interne;"";"";""
33008;OFN - Conduzione progetto;"";"";""
33007;Visibilità Consulenti manager;6.21.6;"";6.22.0
32911;DGS - POLIZZA ITALIANA DOPPIA GS - Valutazioni progettuali;"";"";""
32909;Installazione in PROD v.6.21.4;"";"";""
32908;Installazione in TEST v.6.21.4;"";"";""
32907;Twill Governance - errore aggiornamento utenti;6.21.3;"";6.22.0
32842;Supporto per spazio dischi in esaurimento;"";"";""
32725;deroga su operatività Italiana Flex;"";"";""
32693;Installazione in PROD v.6.21.0;"";"";""
32663;Nuovi Contratti DC;"";"";""
32649;Nota griglia di concentrazione % Tipologia;"";"";""
32647;Installazione in TEST v.6.21.0;"";"";""
32599;Integrazione FEA con Infocert;"";"";""
32597;OMW - Sal/Riunioni interne;"";"";""
32596;OMW - tuning/adattamenti simulatore/previsionale;6.25.0;"";6.25.0
32595;OMW - tuning/adattamenti su flusso Input/Output;6.23.0;"";6.23.0
32594;OMW - Online proposta per acquisizione nuova informazione da stampare su modulo;6.23.0;"";6.23.0
32593;OMW - Xform per modifiche all'attuale modulo;6.23.0;"";6.23.0
32592;OMW - tuning per nuovi codici società e prodotto (online, performance, masse medie, disclouser...);6.23.0;"";6.23.0
32591;OMW - configurazione nuova società e prodotto;6.23.0;"";6.23.0
32571;NUOVA POLIZZA;"";"";""
32552;Installazione in TEST v.6.20.0;"";"";""
32453;Ambiente TEST - dischi full;"";"";""
32306;Avviso ai Clienti per la modifica della modalità di autenticazione/firma con FEA;"";"";""
32305;Portale Cliente - Modifica modalità di certificazione accesso + Firma contratto FEA;"";"";""
32186;FEA Estero - Scelta chiamata per tutti i documenti;"";"";""
31841;Disposizione ordini automatica a seguito di firma con FEA;"";"";""
31825;APPLICAZIONE CONTRATTI - CAMPO FPACOD;"";"";""
31744;Fasi ambiente di test - Tomcat non attivi;"";"";""
31667;Sottoscrizione OICR da Delegato/Tutore;"";"";""
31598;SERVIZIO COLLOCAMENTO CABEL;"";"";""
31564;X-Form - Modifica punti firma moduli di sottoscrizione fondi;"";"";6.53.0
31545;OMW - Valutazioni Progettuali (OPEN MULTIASSET WELCOME);"";"";""
31419;"Fasi ambiente di test - ""triggering heartbeat"" - 15.02.2023";"";"";""
31406;Numero di telefono e indirizzo e-mail certificato;"";"";6.54.0
31381;Flussi Cabel ricevuti in ritardo in data 10.01.2023;"";"";""
31374;liquidità;"";"";""
31312;Acquisizione e trattamento dati ESG - valutazione progettuale;"";"";""
31152;Verifica Riprofilatura Opportunistica - Raccomandazione n. 390558;"";"";""
31073;Obbligazioni subordinate soggette a bail in - Introduzione dichiarazione Cliente d;"";"";""
30981;Flussi Cabel non ricevuti in data 16.12.2022;"";"";""
30978;Utilizzo FEA dall'estero - Doc.to sottoscrizione contratto Fea da portale cliente;6.17.0;"";6.17.0
30934;"Verifica segnalazione monitoraggio ""SF Complesso Non Corretto""";"";"";""
30926;Verifica SF DE0001965556 su cliente Benelli: risulta non adeguato e non appropriato;6.17.0;"";6.17.0
30923;Call del 05.12.2022;"";"";""
30922;Chiarimenti punteggi sugli Strumenti Finanziari;"";"";""
30888;Integrazione modulo d'ordine - Raccolta Istruzioni Specifiche;"";"";6.69.0
30862;Installazione Test e Prod v 6.16.0 (skf3 1.16.0);"";"";""
30849;Revisione ReverseBackFront TWILL vs BACKEND;"";"";""
30791;CTR - ADDON - rimozione sezione payin pagato;"";"";""
30790;QUESTIONARIO MIFID - SF NON CORRETTO;"";"";""
30655;Portale Cliente - Pubblicazioni documenti firmati con FEA da Postino;"";"";""
30572;Clienti Professionali - Valutazione Costi Benefici;"";"";""
30570;Adeguatezza di portafoglio migliorativa per Rischio di Concentrazione - Disclaimer;"";"";6.51.0
30569;Rimozione Richiesta Cliente per Accesso Watch List in operazioni di Vendita/Rimborso;"";"";""
30568;Ordini di iniziativa cliente - revisione logica applicata;"";"";""
30558;Tabella TROLAO ( e altre ) situazione con fase LIVE lanciata nel corso della giornata;"";"";""
30523;Supporto per pubblicazione dati Twill - 13.10.2022;"";"";""
30472;Campo aggiuntivo TCLANA - Riprofilatura opportunistica;"";"";""
30465;Modulo d'ordine - SF Illiquidi;"";"";6.51.0
30445;Informativa Costi, Oneri e Incentivi - Switch Fondi e SICAV;6.30.0;"";6.30.0
30441;Disclaimer complessi - SF in Black List per Clienti Professionali;"";"";""
30321;Tabella W70 rating per punteggio rating (nuova versione excel simulatore multivariata);6.13.2;"";6.14.0
30316;Diversificazione Geografica e Valutaria;"";"";""
30300;Punteggi di rischiosità del titolo (090 --> 000);6.13.2;"";6.14.0
30299;Controllo di appropriatezza per clienti professionali;6.13.2;"";6.14.0
30287;Modifica programma caricamento polizze Uniqa ramo 1;6.49.1;"";6.50.0
30285;Test acquisizione nuovo tracciato TTIANA;"";"";""
30275;agenda;6.13.2;"";6.14.0
30274;decimali non evidenziati correttamente;6.13.2;"";6.14.0
30273;no funzione export per conti correnti;6.13.2;"";6.14.0
30151;Rendiconto Unico Costi, Oneri e Incentivi;6.28.5;"";6.32.0
30150;Progetto integrazione SFDR - ESG;"";"";6.36.0
30139;STIMA MANAGERIALE Operatività Ufficio Crediti;"";"";""
30123;Carico 2 pdf di sottoscrizione fondi;6.12.7;"";6.14.0
30055;"CTR - ADDON - ""Canone contratto in essere""; aggiungere calcolo del canone percentuale ";"";"";""
30052;CTR - ADDON - nuova stampa applicativa per sintesi informazioni di una simulazione;"";"";""
30051;CTR - ADDON - alert per indicare che le simulazioni sono datate ;"";"";""
30046;Aggiornamento pdf in xform - 5 società;6.12.6;"";6.14.0
30043;Revisione controllo di adeguatezza;6.13.2;"";6.14.0
30008;Revisione corpo mail modulo d'ordine ed esposizione KIID in portale cliente;6.12.6;"";6.14.0
29963;Aggiornamento pdf ni xform - 8 società;6.12.6;"";6.14.0
29956;Riapertura RM #29088 - Sottoscrizione casa prodotto già in portafoglio;6.12.6;"";6.14.0
29950;Carico nuove versione case Sicav;"";"";""
29934;Supporto ambiente di produzione 13.07.2022 - server non accessibili e fasi batch non eseguite;"";"";""
29910;PSK - Link modulo prima sottoscrizione + sezione portale cliente;6.12.5;"";6.14.0
29892;Corpo mail modulo d'ordine e prima sottoscrizione;6.12.5;"";6.14.0
29884;Ko reinvio mail per firma FEA;6.12.4;"";6.14.0
29879;Verifica punteggio di appropriatezza SF;6.13.1;"";6.14.0
29878;Gestione Family Office - valutazioni progettuali;"";"";""
29864;Prima sottoscrizione OICR per entità giuridiche;6.12.4;"";6.14.0
29855;Mancato invio mail per Fea per modulo d'ordine;6.12.3;"";6.14.0
29854;Supporto per ricarico clienti UNICASIM e intervento SIPCI;6.12.3;"";6.14.0
29852;Modulo ordine in errore per firma su sezione KIID;6.12.2;"";6.14.0
29851;ERRORE IN FORZATURA ORDINI;6.12.2;"";6.14.0
29844;MODIFICA TRACCAITO TCLSVA - AGGIUNTA AL #23809;"";"";""
29818;Moduli prime sottoscrizioni fondi;6.12.1;"";6.14.0
29817;Nuova versione pdf Natixis;6.12.1;"";6.14.0
29815;PDF Editabili - documentGroup e xml format ko;6.12.1;"";6.14.0
29797;Mancato aggiornamento FEA;6.14.0;"";6.14.0
29796;Nuova versione pdf Franklin Templeton;6.12.1;"";6.12.1
29749;Invio E-Mail al B.O. per MiFID da Postino;"";"";""
29741;Griglia I miei conti correnti;"";"";""
29729;Pomul - snellimento movimenti con causale non trattata;"";"";6.49.0
29719;Visualizzazione split quote in posizione Twill (continua #29229);"";"";""
29691;Flussi SIED non pervenuti in data 08.06.2022;"";"";""
29544;Supporto per manutenzione server Test e Produzione fine settimana 21.05.2022;"";"";""
29495;Rimozione firma OTP da documenti prodotti da Twill;"";"";""
29466;Riprofilatura Opportunistica - sospensione controllo per clienti migrati;_v.6.12.0;"";_v.6.12.0
29433;PSK ADDON - Sezione aggiuntiva con relativo punto firma per dichiarazione su KIID;_V.6.12.0;"";_v.6.12.0
29432;PSK ADDON - Visualizzazione documenti KIID in portale cliente;_V.6.12.0;"";_v.6.12.0
29431;PSK ADDON - Visualizzazione documenti firmati con FEA in portale cliente;_V.6.12.0;"";_v.6.12.0
29430;PSK ADDON - Revisione mail con link per i singoli moduli;_V.6.12.0;"";_v.6.12.0
29429;PSK ADDON - Gestione firma per accettazione in modalità cartacea e FEA;_V.6.12.0;"";_v.6.12.0
29428;PSK ADDON - Gestione callback per registrazione firma FEA;_V.6.12.0;"";_v.6.12.0
29427;PSK ADDON - Gestione produzione documenti via batch;_V.6.12.0;"";_v.6.12.0
29426;PSK ADDON - Carico xform e definizione punti firma (per circa 20 modelli);_v.6.12.0;"";_v.6.12.0
29364;Adeguamento per IF del flusso TCLANA per informazioni ESG (segue #28238);_v.6.11.1;"";_V.6.11.1
29353;ADM - System & Integration Test  c/o Consulia - Stream2;6.13.0;"";6.13.0
29352;ADM - System & Integration Test  c/o Consulia - Stream1;6.13.0;"";6.13.0
29351;ADM - System & Integration Test  c/o IFIGEST - Stream2;6.13.0;"";6.13.0
29350;ADM - System & Integration Test  c/o IFIGEST - Stream1;6.13.0;"";6.13.0
29349;ADM -  Dettaglio calcoli punteggi di rischio nella scheda titolo;6.13.0;"";6.13.0
29348;ADM - Revisione griglie per esposizione punteggio rischio;6.13.0;"";6.13.0
29347;ADM - Revisione controllo di adeguatezza sul titolo;6.13.0;"";6.13.0
29346;ADM - Revisione controllo di appropriatezza sul titolo;6.13.0;"";6.13.0
29345;ADM - Revisione normalizzatore ADNOR per popolamento TTIMIF;6.13.0;"";6.13.0
29344;ADM - Revisione TTIMIF con nuovi campi di rischio del Titolo;6.13.0;"";6.13.0
29343;ADM - Revisione buildPtf per esposizione nuovo punteggio rischio;6.13.0;"";6.13.0
29342;ADM - Algoritmo per popolamento tabella con campi di rischio del titolo;6.13.0;"";6.13.0
29341;ADM - Nuove tb con dati di dominio e punteggi PL e LIVE;6.13.0;"";6.13.0
29340;ADM - Definizione query di popolamento e innesto in processi batch;6.13.0;"";6.13.0
29339;ADM - Definizione tab SA, PL, LIVE con dati aggiuntivi Titolo;6.13.0;"";6.13.0
29338;ADM - Supporto Post-Roll-Out;"";"";""
29336;ADM - Roll-Out;6.13.0;"";6.13.0
29335;ADM - SAL / Riunioni Interne;6.13.0;"";6.13.0
29334;ADM - Conduzione progetto;6.13.0;"";6.13.0
29316;PSK ADDON - Processo revisione Nuova Sottoscrizione Fondi e KIID - Valutuazioni progettuali;"";"";""
29166;Verifica / supporto fasi batch 11-12.04.2022;"";"";""
29126;Migrazione Unica SIM - censimento utenze e definizione contratti evoluta;_V.6.12.0;"";_V.6.12.0
29111;FIA - Revisione batch ROSEG;"";"";""
29110;FIA - Revisione buildptf per considerare la manleva;"";"";""
29109;FIA - Manleva: funzione Twill Office;_v.6.11.0;"";_v.6.11.0
29108;FIA - Manleva: censimento automatico;"";"";""
29107;FIA - Revisione modulo d'ordine Proposta per nuovi disclaimer;"";"";""
29106;FIA - Revisione controlli semafori;"";"";""
29105;FIA - Nuovo flag richiesta cliente e salvataggio in ptf;"";"";""
29104;FIA - Action per indicare la possibilità di nuova richiesta cliente in concentrazione;"";"";""
29103;"FIA - revisione controlli concentrazione per ""Tipologia"" e rimozione limite 500.000 per FIA";_v.6.10.1;"";_v.6.11.0
29098;PSK - Revisione testo mail per comprendere una nuova dicitura dinamica;_V.6.12.0;"";_v.6.12.0
29097;PSK - Gestione allegati per modulo prima sottoscrizione, fascicolo di consiglio;_V.6.12.0;"";_v.6.12.0
29096;PSK - Gestione produzione documenti via batch (ROSDR);_V.6.12.0;"";_v.6.12.0
29095;PSK - Integrazione con postino;_V.6.12.0;"";_v.6.12.0
29094;PSK - Revisione iter di firma considerando presenza documenti di prima sottoscrizione che NON sono da firmare;_V.6.12.0;"";_v.6.12.0
29093;PSK - Tutti i documenti devono essere prima scaricati prima delle firme;_V.6.12.0;"";_v.6.12.0
29092;PSK - Gestione nuovi PUBTIP per considerare se il doc.to è per download o per firma;_V.6.12.0;"";_v.6.12.0
29091;PSK - Prepopolamento nuovo documento NON scaricabile;_V.6.12.0;"";_v.6.12.0
29090;PSK - Nuovo link a fianco dell'operazione con accesso KIID;_V.6.12.0;"";_v.6.12.0
29089;PSK - Gestione array allegati su attuale framework;_V.6.12.0;"";_v.6.12.0
29088;PSK - Metodo per riconoscere se fondo è già nel ptf;_V.6.12.0;"";_v.6.12.0
29087;PSK - Utilizzo parametrico per gestione pdf editabili per Fondi;_V.6.12.0;"";_v.6.12.0
29086;PSK - Completamento attività su Morgan Stanley;_V.6.12.0;"";_v.6.12.0
29061;CTR - System & Integration Test  c/o CONSULIA Stream5;"";"";""
29060;CTR - System & Integration Test  c/o IFIGEST Stream5;"";"";""
29052;Piano manutenzione Twill;"";"";""
29036;Twill - assistenza a Edp per riavvio server applicativo;"";"";""
29014;Twill fasi batch 24.03.2022 - mail saldi post pubblicazioni dati non completata;"";"";""
29006;Twill fasi batch 23.03.2022 - mail saldi post pubblicazioni dati non completata;"";"";""
29005;aggiornamento scadenza questionario Mifid;_V.6.11.0;"";_V.6.11.0
28978;FIA - Revisione monitoraggio per concentrazione fascia FIA (rif #28977) - Valutazioni progettuali;"";"";""
28977;FIA - Revisione controlli concentrazione fascia Fia - Valutazioni progettuali;"";"";""
28919;Monitoraggio - Segnalazione scadenza mifid su clienti con solo GP;"";"";""
28914;Unicapem - verifica valori;_V.6.11.0;"";_V.6.11.0
28907;Errore inserimento note monitoraggio;"";"";""
28898;Creazione Staffe tabella TCLDSE;"";"";""
28852;Escludere alcuni NDG dalla possibilità di attivare la FEA;"";"";""
28850;Migliorie modulo MITO da Postino;"";"";""
28819;ADM - Simulazione/calcolo dell?adeguatezza multivariata di un SF - Valutazioni progettuali;6.13.0;"";6.13.0
28782;Ripristino stampa posizione globale cliente;"";"";""
28709;PSK - Modulo Sottoscrizione SICAV Blank con FEA e Prima sottoscrizione OICR esposizione KIID - Valutazioni progettuali;"";"";""
28659;Concentrazione Polizze;"";"";""
28656;Verifica / supporto fasi batch 17.02.2022;"";"";""
28632;"Segnalazione monitoraggio da NON attivare per clienti ""Professional""";"";"";""
28418;Revisione % concentrazione complessi;"";"";""
28416;Errore accesso portafoglio;"";"";""
28337;Assistenza fasi batch Ifigest per flussi non arrivati (25.01.2022);"";"";""
28319;Utilizzo FEA dall'estero (segue da RM #27469);6.19.0;"";6.19.0
28312;Modifica moduli x form per FEA (rif #17100);"";"";""
28310;Supporto per flussi Cabel non arrivati 21.01.2022;"";"";""
28298;Adattamento concentrazione complessi;"";"";""
28272;FEA - Punti firma nel Fascicolo di Consiglio;"";"";""
28241;Supporto segnalazioni monitoraggio e controllo professionali su SF Complessi non corretti;"";"";""
28175;"Documentazione generica in visibilità ai clienti su sezione ""comunicazioni""";"";"";""
28173;strong authentication per numeri esteri;"";"";""
28059;Quota monitoraggio AddOn;"";"";""
27827;MiFID firmabile con FEA da Postino;"";"";""
27756;Posizione Cliente - Indicazione Delega;"";"";""
27731;Clienti Professionali/NAP;"";"";""
27694;Acquisizione dati aggiuntivi TTIANA per controlli su SF Illiquidi e Fondi OICR < 25 MLN tramite query su AS400 ed esposizione dati;"";"";""
27583;Estrazioni massive monitoraggio per le funzioni di controllo;"";"";""
27556;Verifica punteggi di adeguatezza e appropriatezza;"";"";""
27552;SAL - Nuovo Rendiconto Saldi Storici;"";"";""
27522;ADCOI in errore - Ambiente di TEST;"";"";""
27500;Attivazione servizio family office;"";"";""
27482;Fasi in errore in ambiente di Test e Produzione - attività di verifica e supporto;"";"";""
27475;Scarico schede mifid scadute - Verifiche e adeguamenti Twill;"";"";""
27469;Strong Authentication dall'estero con numero di telefono italiano;"";"";""
27468;Verifica fasi batch di Test e Produzione;"";"";""
27463;Carico estemporaneo dati aggiuntivi TTIANA per controlli su SF Illiquidi e Fondi OICR < 25 MLN;"";"";""
27340;Flussi giornalieri di Cabel non pervenuti in data odierna;"";"";""
27319;Acquisizione dati aggiuntivi TTIANA per controlli su SF Illiquidi e Fondi OICR < 25 MLN;"";"";""
27317;MON - (AddOn) - Monitoraggio: evidenze SF non corretti per SF complessi;"";"";""
27300;Revisione fasce e controlli di concentrazione;"";"";""
